Country Name;Country Code;Indicator Name;Indicator Code;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Ukraine;UKR;Internally displaced persons, total displaced by conflict and violence (number of people);VC.IDP.TOCV;;;;;;;;;;;;;;;646000;1679000;1653000;800000;800000;730000;734000;854000;5914000
Ukraine;UKR;Voice and Accountability: Standard Error;VA.STD.ERR;0,180663228;;0,154602364;0,153135434;0,153351605;0,156871915;0,133416772;0,124616966;0,125936702;0,127938911;0,125552282;0,122662872;0,118001364;0,117903799;0,124685392;0,127105325;0,122539222;0,124200031;0,127389669;0,121602051;0,125060499;0,126804635;0,124169022
Ukraine;UKR;Voice and Accountability: Number of Sources;VA.NO.SRC;8;;10;10;10;10;12;15;15;15;15;16;16;15;13;13;13;13;13;12;11;10;10
Ukraine;UKR;High-technology exports (% of manufactured exports);TX.VAL.TECH.MF.ZS;;;;;;;;;;;;4,513773352;6,471814901;6,146082943;6,88722574;8,038853598;6,678807986;6,165825861;5,424671796;5,480124989;5,852349851;4,510373629;
Ukraine;UKR;Export value index (2015 = 100);TX.VAL.MRCH.XD.WD;38,22094578;42,66005718;47,09811945;60,49990821;85,67707922;89,77470034;100,632098;129,2944632;175,6088861;104,3407559;135,0171794;179,5577937;179,7413906;168,7465575;141,3722559;100;95,36548902;113,4760144;124,153487;131,2822934;129,0214284;178,5480106;
Ukraine;UKR;Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports);TX.VAL.MRCH.R6.ZS;1,229313485;1,492376401;1,479425355;1,667640432;1,269893553;1,593972401;1,469436897;1,711446993;1,610311683;1,999045377;1,781177116;1,465091504;1,795680006;2,141532889;2,008833391;1,911250229;1,679465986;2,121738869;2,242691965;2,228856557;1,868397409;;
Ukraine;UKR;Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports);TX.VAL.MRCH.R2.ZS;39,92892709;37,34794598;33,2755157;30,53267855;34,11135967;39,81996205;41,73415732;47,26783757;45,1316347;41,82214873;44,93579578;46,48760711;44,06564838;42,92022732;36,50416972;30,30085833;25,10510971;24,5439209;22,72778514;21,27241771;19,35360966;;
Ukraine;UKR;Merchandise exports (current US$);TX.VAL.MRCH.CD.WT;14573000000;16265000000;17957000000;23067000000;32666000000;34228000000;38368000000;49296000000;66954000000;39782000000;51478000000;68460000000;68530000000;64338000000;53901000000;38127000000;36360000000;43265000000;47336000000;50054000000;49192000000;68073000000;44376000000
Ukraine;UKR;Insurance and financial services (% of commercial service exports);TX.VAL.INSF.ZS.WT;0,56805768;0,510964445;0,461765792;0,597539543;0,49522462;0,609939006;1,280628362;2,76910547;2,941333761;2,858927208;2,85972136;1,721796489;1,417676508;1,780238891;1,604718146;1,671857073;0,881747013;1,162456946;1,07492276;1,049317943;0,949014988;0,680723892;1,222321771
Ukraine;UKR;Agricultural raw materials exports (% of merchandise exports);TX.VAL.AGRI.ZS.UN;1,687723889;1,492749066;1,808661585;1,847581755;1,554162951;1,465981418;1,361551868;1,291339022;0,865641316;1,179886457;1,148226401;1,067910873;0,986626785;1,265093426;1,765393948;2,151491271;2,1062721;1,741883228;2,023434344;1,738585746;1,711450574;1,570804772;1,990569887
Ukraine;UKR;Net barter terms of trade index (2015 = 100);TT.PRI.MRCH.XD.WD;119,6354718;116,819502;125,1635211;124,8339727;132,945578;128,1431474;124,2636394;133,0027013;133,219318;114,7253421;122,399603;127,4742133;113,4774985;113,1414348;109,1130012;100;99,79253112;101,45574;101,0040225;100,9032201;105,9686428;128,236711;
Ukraine;UKR;Computer, communications and other services (% of commercial service imports);TM.VAL.OTHR.ZS.WT;60,66897347;64,46540881;55,46751189;30,37406484;24,991912;25,11088854;23,5764815;23,25288184;22,44330743;25,36629213;26,17934203;27,71377067;26,96155495;29,42463638;25,81609981;23,07173808;21,50389729;20,1418554;22,27532768;21,59822866;27,77283951;26,22534369;6,625292836
Ukraine;UKR;Merchandise imports by the reporting economy, residual (% of total merchandise imports);TM.VAL.MRCH.RS.ZS;0,139209805;0,525489143;1,046519158;4,584063578;0,00062722;0,001405814;0,007007694;0,009381641;0,004123702;0,085009625;0,010491655;0,008377146;0,031229328;0,080709654;0,075879236;0,065213803;0,034372974;0,000491258;0,00256652;0,002218301;0,51106122;;
